Country Name,Country Code,Year,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Cereal production (metric tons),"Children out of school, primary","Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Exports of goods and services (% of GDP),GDP per capita (current US$),Gini index,"Inflation, consumer prices (annual %)","Population, total","School enrollment, secondary (% gross)","Service exports (BoP, current US$)","Service imports (BoP, current US$)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
"Bahamas, The",BHS,2022,100.0,100.0,,608.04,,0.883433436351974,0.808605409801222,0.845077094336941,39.4270880911056,33044.388209429,,5.60540633583044,397538.0,,4611012020.22,1963424213.24002,9.272
"Bahamas, The",BHS,2023,,,,,8775.0,0.88465399988634,0.80521472392638,0.844203538588841,39.746138020016,35896.50510715,,3.05291578969743,399440.0,78.757926940918,5143645365.49936,2198028601.82039,8.643
Barbados,BRB,2000,100.0,100.0,-0.045,300.0,275.0,0.163269344943598,0.295431830207537,0.233149145508382,,11674.6736471764,,2.43581303489137,262063.0,106.496398925781,1086381635.49906,380634377.033456,9.35
Barbados,BRB,2001,100.0,100.0,-0.046,250.0,213.0,0.322654989628947,0.873729188153823,0.613449232994083,,11639.5160522054,,2.57783490431289,262425.0,106.895492553711,1013406502.59737,359262866.423475,9.85
Barbados,BRB,2002,100.0,100.0,-0.047,218.0,322.0,0.206030479429655,0.556578075535596,0.38970799017595,,11760.4524736133,,0.12524945805599,264148.0,106.538719177246,1027010771.6273,376380698.974863,10.32
Barbados,BRB,2003,100.0,100.0,-0.048,263.0,306.0,0.482479653004532,1.03981777304461,0.774203538110169,,12075.9587020649,,1.61943319838055,265776.0,105.990989685059,1118743985.36274,450121368.679417,11.0
Barbados,BRB,2004,100.0,99.9,-0.049,250.0,241.0,0.470038910505837,1.90963194083319,1.216679902306,,12886.3665272467,,1.39442231075691,267298.0,106.922340393066,1094984027.36242,431919841.722579,9.57
Barbados,BRB,2005,100.0,99.9,-0.05,260.0,803.0,0.49086404459585,1.80640763462849,1.17707191324187,,14214.4202213572,,6.08218729535043,268706.0,107.731002807617,1254521121.92397,522228354.01773,9.08
Barbados,BRB,2006,100.0,100.0,-0.051,270.0,468.0,0.515933232169954,1.72661053289221,1.1421068460393,,15619.6005955511,,7.30766262828939,270002.0,106.926780700684,1378471021.25769,529564424.416925,8.73
Barbados,BRB,2007,100.0,100.0,-0.052,280.0,369.0,0.539099526066351,1.63508301190676,1.10299404642066,,17235.4396434785,,4.03422982885071,271288.0,108.901550292969,1457702039.05306,574502119.620445,7.41
